name,Latitude,Longitude
Seacliff,37.78854000000007,-122.48691999999994
Lake Street,37.785060000000044,-122.46403999999995
Presidio National Park,37.799930000000074,-122.46357999999998
Presidio Terrace,37.78826000000004,-122.46079999999995
Inner Richmond,37.78090000000003,-122.46555999999998
Sutro Heights,37.77612759086341,-122.50811910614405
Lincoln Park / Ft. Miley,37.78159000000005,-122.49440999999996
Outer Richmond,37.77958000000007,-122.50240999999994
Golden Gate Park,37.77144000000004,-122.45414
Presidio Heights,37.79028000000005,-122.45165999999995
Laurel Heights / Jordan Park,37.78576000000004,-122.44722999999999
Lone Mountain,37.77791000000008,-122.45261999999997
Anza Vista,37.78048000000007,-122.44357999999994
Cow Hollow,37.79825000000005,-122.43572999999998
Union Street,37.800262938178946,-122.41061400053381
Nob Hill,37.793360000000064,-122.41787
Marina,37.80337000000003,-122.43692999999996
Telegraph Hill,37.80175000000003,-122.40639999999996
Downtown / Union Square,37.78782000000007,-122.40747999999996
Tenderloin,37.78513000000004,-122.41450999999995
Civic Center,37.77863000000008,-122.41682999999995
Hayes Valley,37.77428000000003,-122.42832999999996
Alamo Square,37.77722000000006,-122.43145999999996
Panhandle,37.772550000000024,-122.44583999999998
Haight Ashbury,37.769930000000045,-122.44691999999998
Lower Haight,37.772730000000024,-122.43309999999997
Mint Hill,37.78296829902785,-122.40759738309512
Duboce Triangle,37.76932000000005,-122.43145999999996
Cole Valley,37.76532000000003,-122.44986999999998
Rincon Hill,37.785750042081695,-122.39244489110655
South Beach,37.78630000000004,-122.39268999999996
South of Market,37.777570000000026,-122.40434999999997
Showplace Square,37.77215000000007,-122.40496999999999
Mission Bay,37.76690000000008,-122.38978999999995
Yerba Buena Island,37.81032000000005,-122.36688999999996
Treasure Island,37.82489000000004,-122.37086999999997
Mission Dolores,37.76481000000007,-122.42359999999996
Castro,37.75849000000005,-122.43476999999996
Outer Sunset,37.75302000000005,-122.50379999999996
Parkside,37.73894000000007,-122.48389999999995
Stonestown,37.72700000000003,-122.47736999999995
Parkmerced,37.717220000000054,-122.48030999999997
Lakeshore,37.729850000000056,-122.49416999999994
Golden Gate Heights,37.75282000000004,-122.46947999999998
Forest Hill,37.74817000000007,-122.46410999999995
West Portal,37.739900000000034,-122.46748999999994
Clarendon Heights,37.75899000000004,-122.44876999999997
Midtown Terrace,37.75120000000004,-122.45254999999997
Laguna Honda,37.75104947111208,-122.461265791015
Lower Nob Hill,37.78944000000007,-122.41453999999999
Upper Market,37.76122000000004,-122.44410999999997
Dolores Heights,37.75828000000007,-122.43027999999998
Mission,37.763540000000035,-122.41757999999999
Potrero Hill,37.75660000000005,-122.39913999999999
Dogpatch,37.75946000000005,-122.39035999999999
Central Waterfront,37.75475000000006,-122.38804999999996
Diamond Heights,37.74432000000007,-122.44270999999998
Crocker Amazon,37.71088000000003,-122.43769999999995
Fairmount,37.79242000000005,-122.41008999999997
Peralta Heights,37.745368602596606,-122.40895511511376
Holly Park,37.73756000000003,-122.42094999999995
Merced Manor,37.732440000000054,-122.48145
Balboa Terrace,37.73180000000008,-122.46739999999994
Ingleside,37.723020000000076,-122.45214999999996
Merced Heights,37.71964000000003,-122.46762999999999
Outer Mission,37.71240000000006,-122.44912999999997
Ingleside Terraces,37.724510000000066,-122.46731999999997
Mt. Davidson Manor,37.72822000000008,-122.46397999999999
